Plan,A,B,C,D,E,F,H,I,J
Total_Value,2283,2783.03,3031.5,3252.95,3547.5,748.2,478.38,552.55,1614.65
Weekly_Average,146.63,175.84,194.68,208.91,227.82,48.05,30.72,35.48,103.69
Daily_Average,20.95,25.12,27.81,29.84,32.55,6.86,4.39,5.07,14.81
